id,code,date,customer,qty_input,qty_output,output_per_hour,lot_number,screw_config,machine_no,feed_rate,rpm,screen,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,resin_used,remarks
4140,KA8595E,21-Sep-23,INCON,,73.88,26.39,5323AJ; 5325AJ-5326AJ,STD,1,60,290,40/40,160,170,170,170,170,170,170,170,170,170,,,,,PP
4141,KA8595E,21-Sep-23,INCON,,24.7,3.52,5324AJ,STD,6,15,245,-,170,180,180,180,180,,,,,,,,,,PP
4142,GA15496E,22-Sep-23,PHIL-TOP(corr),,232,81.88,5318AJ-5322AJ,STD,8,10,300,40/40,170,170,170,170,160,160,160,160,160,150,150,150,,,LDPE(HMI)
4143,BA12013E,22-Sep-23,CEBU HI Q,,129.73,77.84,5387AJ-5389AJ,STD,8,15,380,40/40,170,170,170,170,170,170,160,160,160,150,150,150,,,LDPE(HMI)
4144,BA15494E,22-Sep-23,PHIL-TOP,,198.52,82.15,5390AJ-5393AJ,STD,8,10,280,40/40,170,170,160,160,160,160,150,150,150,150,150,150,,,LDPE(HMI)
4145,WA8512E,23-Sep-23,AMAZON,,450,26.09,5130AJ,STD,1,90,400,40,120,120,150,130,130,130,130,130,150,150,,,,,VACUUM ON / LDPE(HMI)
4146,WA8512E,23-Sep-23,AMAZON,,24.17,26.37,5131AJ,STD,1,90,400,40,120,120,150,130,130,130,130,130,150,150,,,,,VACUUM ON / LDPE(HMI)
4147,UA8910E,23-Sep-23,STARKSON,,10,24,5173AJ,STD,1,70,290,60/60,120,140,160,160,160,160,160,160,160,150,150,,,,RUBBER
4148,BA3925E,25-Sep-23,Evergood(corr),,248.98,82.99,5397AJ-5401AJ,STD,8,8,300,40/40,180,180,180,170,170,170,160,160,160,160,170,170,,,LDPE(HMI)
4149,BA2091E,23-Sep-23,CEBU HI Q,,620,73.66,5329AJ-5341AJ,STD,8,8,340,60/60,200,200,200,200,170,170,170,160,160,160,170,170,,,LDPE(HMI)
4150,WA15123E,22-Sep-23,GILVAN,,3015.07,87.73,5179AJ-5209AJ,STD,5,15,400,60/60,180,180,170,170,170,160,160,150,150,160,160,,,,LDPE(HMI)
4151,BA12556E,27-Sep-23,PACKAGEWORLD,,4955,26.03,5282AJ-5301AJ,STD,1,85,280,60/60,120,140,160,160,160,160,160,160,160,160,,,,,RUBBER
4152,KA4595E,26-Sep-23,EVERGOOD,,154.05,73.94,5413AJ-5415AJ,STD,8,12,300,40/40,170,170,170,170,160,160,160,160,160,150,150,150,,,LDPE(HMI)
4153,KA8595E,25-Sep-23,INCON,,26.5,45.43,5395AJ,STD,8,9,250,40/40,180,200,180,180,180,180,180,180,180,180,180,180,,,PP
4154,KA8595E,25-Sep-23,INCON(corr),,24.88,74.64,5396AJ,STD,8,9,250,40/40,180,200,180,180,180,180,180,180,180,180,180,180,,,PP
4155,GA16014E,25-Sep-23,CANLINE,,481.3,58.34,5377AJ-5386AJ,STD,8,10,380,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE(HMI)
4156,WA5860E,25-Sep-23,EVERBRIGHT,,304.8,81.28,5448AJ-5450AJ,STD,5,20,380,60/60,170,120,120,120,160,160,160,160,160,150,150,,,,VACUUM ON / LDPE(HMI)
4157,WA15071E,25-Sep-23,PACKAGEWORLD,,496.42,61.41,5302AJ-5306AJ,STD,5,120,280,40/40,140,160,160,160,150,150,150,140,140,150,150,,,,LL38
4158,WA2127E,25-Sep-23,CEBU HI Q,,153.46,65.77,5342AJ-5343AJ,STD,5,12,380,60/60,170,170,170,170,160,160,160,160,160,150,150,,,,VACUUM ON / LDPE(HMI)
4159,VA4086E,25-Sep-23,EASTERN,,597.1,59.41,5344AJ-5363AJ,STD,3,9,24,40/40,150,150,140,140,140,150,150,,,,,,,,VACUUM ON/LDPE(HMI)
4160,GA4921E,26-Sep-23,Everest,,258,75.51,5462AJ-5467AJ,STD,8,14,400,40/40,180,180,180,170,170,170,170,160,160,160,170,170,,,LDPE(HMI)
4161,GA3538E,3-Oct-23,ZELLER(tmblr),,134,48.73,5808AJ,STD,8,10,280,40/40,180,200,180,180,180,180,180,180,180,180,180,180,,,PP
4162,YA5124E,26-Sep-23,EVERGOOD,,208.83,71.6,5408AJ-5412AJ,STD,8,12,400,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE(HMI)
4163,YA5917E,26-Sep-23,EVERGOOD,,254.15,59.8,5402AJ-5407AJ,STD,8,8,400,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE(HMI)
4164,WA6947E,26-Sep-23,ATLANTA,,989.72,82.48,5365AJ-5374AJ,STD,5,15,300,40/40,180,200,200,200,180,180,180,180,180,180,180,,,,PP
4165,WA15190E,26-Sep-23,NMH,,5200,77.04,5231AJ-5280AJ; 5375AJ-5376AJ,STD,5,12,380,60/60,180,200,200,180,180,180,180,180,180,180,180,,,,(52-62 PPG) / PP
4166,GA8074E,26-Sep-23,GLOBAL KONTEINER,,154.4,88.23,5451AJ-5454AJ,STD,8,12,400,40/40,170,170,170,170,170,160,160,160,160,160,150,150,,,LDPE HMI
4167,GA16415E,27-Sep-23,METRO CONT.,,199.36,65.72,5478AJ-5481AJ,STD,8,25,400,40/40,170,170,170,170,170,160,160,160,160,150,150,150,,,LDPE HMI
4168,GA16415E,27-Sep-23,METRO CONT.,,769.5,63.86,5468AJ-5477AJ; 5501AJ-5506AJ,STD,8,25,400,40/40,170,170,170,170,170,160,160,160,160,150,150,150,,,LDPE HMI
4169,DA15568E,27-Sep-23,PHIL-TOP,,246.7,75.91,5482AJ-5486AJ,STD,8,10,350,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE(HMI)
4170,IA1770E,28-Sep-23,EVERBRIGHT,,792.08,60.39,5416AJ-5447AJ,STD,8,25,400,60/60,180,180,170,170,170,170,160,160,160,160,160,160,,,VACUUM ON/LDPE(HMI)
4171,BA9910E,28-Sep-23,Everest,,248.33,91.41,5457AJ-5461AJ,STD,8,10,310,40/40,170,170,170,170,170,160,160,160,160,160,160,160,,,LDPE HMI
4172,BA16204E,28-Sep-23,INCON(corr),,105,67.74,5507AJ-5508AJ,STD,8,8,320,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE(HMI)
4173,BA15494E,28-Sep-23,PHIL-TOP(corr),,99.7,79.76,5487AJ-5488AJ,STD,8,10,280,40/40,170,170,160,160,160,150,150,150,150,150,150,150,,,LDPE(HMI)
4174,GA3538E,26-Apr-23,ZELLER,,52.49,47.01,0175AJ,STD,8,10,300,40/40,180,200,180,180,180,180,180,180,180,180,180,180,,,PP
4175,GA3538E,29-Sep-23,ZELLER,,53,46.76,5576AJ-5577AJ,STD,8,10,280,40/40,180,200,180,180,180,180,180,180,180,180,180,180,,,PP
4176,MA12627E,29-Sep-23,PLEXCO,,206.13,57.79,5565AJ-5572AJ,STD,8,10,400,40/40,170,170,170,170,160,160,160,150,150,150,150,150,,,LDPE HMI
4177,RA2508E,29-Sep-23,Evergood,,505.28,62.38,5489AJ-5499AJ,STD,8,8,420,60/60,170,170,170,170,170,160,160,160,160,160,160,160,,,LDPE(HMI)
4178,BA13023E,3-Oct-23,GENSTAR,,495.23,45.43,5551AJ-5561AJ,STD,8,7,400,40/40,180,180,180,170,170,160,160,160,160,160,160,160,,,LDPE HMI
4179,BA15002E,2-Oct-23,MCBRIDE,,50,31.58,5563AJ-5564AJ,STD,8,8,150,40/40,230,230,230,230,220,220,220,220,220,220,230,230,,,90-100 ppg (PET)
4180,BA15002E,2-Oct-23,MCBRIDE,,8.36,11.15,5562AJ,STD,8,9,150,40/40,230,230,230,220,220,220,220,220,220,230,230,230,,,90-100 ppg (PET)
4181,GA15961E,30-Sep-23,CDC,,106.7,60.97,5641AJ-5643AJ,STD,8,12,300,40/40,170,170,170,170,160,160,160,160,160,150,150,150,,,LDPE(HMI)
4182,GA12411E,30-Sep-23,GENSTAR,,256.08,66.8,5631AJ-5636AJ,STD,8,15,380,40/40,200,200,180,180,180,180,180,180,180,180,180,180,,,PP
4183,GA6607E,30-Sep-23,Zeller,,49.9,46.06,5574AJ-5575AJ,STD,8,150,280,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,PP
4184,KA8595E,30-Sep-23,INCON,,33,49.5,5620AJ,STD,8,9,250,40/40,180,200,180,180,180,180,180,180,180,180,180,180,,,PP
4185,WA15190E,30-Sep-23,NMH,,3865.63,77.91,5580AJ-5619AJ,STD,5,10,380,60/60,180,200,200,180,180,180,180,180,180,180,180,,,,(52-62 PPG) / PP
4186,BA9910E,2-Oct-23,Everest(corr),,307.56,90.02,5658AJ-5664AJ,STD,8,10,310,40/40,170,170,170,170,160,160,160,160,160,160,160,160,,,LDPE HMI
4187,BA9910E,2-Oct-23,Everest,,24.32,97.28,5657AJ,STD,8,10,310,40/40,170,170,170,170,160,160,160,160,160,160,160,160,,,LDPE HMI
4188,DA15568E,2-Oct-23,PHIL-TOP(error),,198.05,76.66,5626AJ-5629AJ,STD,8,10,350,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE(HMI)
4189,DA15568E,2-Oct-23,PHIL-TOP,,251,57.92,5630AJ; 5787AJ-5790AJ,STD,8,10,350,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE(HMI)
4190,GA6607E,4-Oct-23,ZELLER(corr),,53.38,49.27,5835AJ-5836AJ,STD,8,150,280,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,PP
4191,GA3538E,17-Jan-23,ZELLER,,54.33,46.57,6528AI-6529AI,STD,8,11,220,40/40,180,200,180,180,180,180,180,180,180,180,180,180,,,PP
4192,GA3538E,3-Oct-23,ZELLER(corr),,38.45,46.14,5809AJ-5810AJ,STD,8,10,280,40/40,180,200,180,180,180,180,180,180,180,180,180,180,,,PP
4193,UA11287E,3-Oct-23,SMYPC,,2016.65,75.86,5732AJ-5752AJ,STD,5,10,380,40,170,160,170,170,160,160,140,140,150,150,,,,,
4194,IA15764E,3-Oct-23,I-TUNG,,104.75,83.8,5623AJ-5625AJ,STD,8,10,280,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE(HMI)
4195,IA0760E,3-Oct-23,PLACEL,,53.75,48.13,5621AJ-5622AJ,STD,8,20,380,40/40,180,180,170,170,170,170,160,160,160,160,160,160,,,LDPE HMI
4196,YA5993E,4-Oct-23,EVERGOOD,,500.72,72.92,5646AJ-5656AJ,STD,8,18,350,40/40,180,180,170,170,170,160,160,160,160,160,170,170,,,LDPE(HMI)
4197,MA12627E,4-Oct-23,PLEXCO(corr),,47.45,49.09,5881AJ,STD,8,10,400,40/40,170,170,170,160,160,160,160,160,160,160,180,180,,,LDPE HMI
4198,TA15557E,4-Oct-23,I-TUNG,,205.58,78.07,5665AJ-5669AJ,STD,8,10,280,40/40,170,170,170,170,170,160,160,160,160,160,160,160,,,LDPE(HMI)
