id, Code ,Date, Customer , Qty Input (Kg) , Qty Output (Kg) , Output/Hr , Lot #'s ,Screw Config., MC # , Feed Rate , RPM ,Screen,Z13,Z12, Z11 , Z10 , Z9 , Z8 , Z7 , Z6 , Z5 , Z4 , Z3 , Z2 , Z1 , Resin used , REMARKS 
1107,BA1761E,21-Oct-21,MOLDEX,, 179.78 , 58.31 ,8443AG-8446AG,STD,5,260,400,60/60,,,180,180,160,180,180,180,180,180,180,180,180,,VACUUM ON
1108,BA13023E,21-Oct-21,GENSTAR,, 355.00 , 43.92 ,8434AG-8441AG,STD,5,20,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1109,BA13023E,21-Oct-21,GENSTAR(corr),, 25.00 , 33.33 ,8442AG,STD,5,20,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1110,WA11838E,21-Oct-21,MCBRIDE,, 297.28 , 62.59 ,8519AG-8521AG,STD,8,25,280,40/40,,120,120,130,140,140,150,150,160,160,160,140,120,,Coil Screw/vacuum on
1111,WA8512E,21-Oct-21,AMAZON,," 5,947.17 ", 109.96 ,8523AG-8582AG,STD,8,22,220,40,,,150,150,150,150,160,160,160,160,160,160,160,,
1112,UA8910E,18-Oct-21,STARKSON,, 26.29 , 39.44 ,8422AG,STD,8,180,25,60/60,,150,150,150,150,160,160,160,160,170,170,170,170,,
1113,BA3435E,22-Oct-21,ZELLER,, 51.50 , 51.50 ,8598AG,STD,5,150,300,40/40,,,180,180,180,180,180,180,180,180,180,200,180,,
1114,RA12372E,22-Oct-21,SPI,, 502.23 , 46.36 ,8508AG-8518AG,STD,3,30,40,60/60,,,,,,,130,130,150,150,150,150,150,,
1115,GA2563E,22-Oct-21,MOLDEX,, 372.47 , 59.60 ,8673AG-8680AG,STD,5,250,380,60/60,,,160,160,160,180,180,180,180,180,180,180,180,,
1116,RA7310E,22-Oct-21,GILVAN,, 55.25 , 39.00 ,8704AG; 8705AG,STD,3,12,6,40/40,,,,,,,140,140,140,160,140,140,160,,
1117,GA14252E,22-Oct-21,EVEREST,, 166.36 , 71.81 ,8682AG-8685AG,STD,5,20,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1118,GA8074E,22-Oct-21,EASTERN,, 523.50 , 86.53 ,8639AG-8649AG,STD,5,160,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1119,BA2688E,22-Oct-21,GILVAN,, 55.90 , 88.26 ,8702AG-8703AG,STD,3,8.6,16,40/40,,,,,,,130,130,150,150,150,150,150,,VACUUM ON
1120,YA4249E,23-Oct-21,MOLDEX(corr),, 33.09 , 62.04 ,8710AG,STD,5,220,400,40/40,,,160,160,160,160,170,170,170,170,180,200,200,,
